tweet_id,timestamp,source,text,rating,rating_d,name,dog_stage,breed,predictions,breed_runup,predictions_runup,jpg_url,favorites_count,retweet_count
892420643555336193,2017-08-01 16:23:56+00:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13,10,Phineas,,,,,,,35565.0,7534.0
892177421306343426,2017-08-01 00:17:27+00:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13,10,Tilly,,chihuahua,0.323581,pekinese,0.0906465,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,30753.0,5589.0
891815181378084864,2017-07-31 00:18:03+00:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12,10,Archie,,chihuahua,0.716012,malamute,0.078253,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,23129.0,3703.0
891689557279858688,2017-07-30 15:58:51+00:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13,10,Darla,,,,,,,38845.0,7709.0
891327558926688256,2017-07-29 16:00:24+00:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12,10,Franklin,,basset,0.555712,english_springer,0.22577,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,37102.0,8316.0
891087950875897856,2017-07-29 00:08:17+00:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13,10,None,,chesapeake_bay_retriever,0.425595,irish_terrier,0.116317,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,18708.0,2787.0
890971913173991426,2017-07-28 16:27:12+00:00,Twitter for iPhone,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13,10,Jax,,appenzeller,0.34170300000000003,border_collie,0.199287,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,10869.0,1810.0
890729181411237888,2017-07-28 00:22:40+00:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13,10,None,,pomeranian,0.566142,eskimo_dog,0.17840599999999998,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,59926.0,16856.0
890609185150312448,2017-07-27 16:25:51+00:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13,10,Zoey,,irish_terrier,0.487574,irish_setter,0.193054,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,25744.0,3843.0
890240255349198849,2017-07-26 15:59:51+00:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14,10,Cassie,doggo,pembroke,0.511319,cardigan,0.451038,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,29373.0,6554.0
